"All Denmark","Average income for families in the group (DKK)","Families, total","300,000 - 399,999 DKK",347084,347082,347120,347185,347524,347842,348439,348766,349494,349451
"All Denmark","Average income for families in the group (DKK)","Families, total","400,000 - 499,999 DKK",446301,446335,446536,446542,446793,446990,447483,447508,447172,447161
"All Denmark","Average income for families in the group (DKK)","Families, total","500,000 - 599,999 DKK",548647,548413,548146,548002,547715,547828,547622,547503,547310,547122
"All Denmark","Average income for families in the group (DKK)","Families, total","600,000 - 699,999 DKK",649384,649396,649436,649496,649302,649171,648705,648546,648445,648251
"All Denmark","Average income for families in the group (DKK)","Families, total","700,000 - 799,000 DKK",748256,748435,748490,748797,749072,748954,749205,749447,749467,749544
"All Denmark","Average income for families in the group (DKK)","Families, total","800,000 - 899,000 DKK",847339,847533,847554,847887,848005,848096,848711,848836,848899,849075
"All Denmark","Average income for families in the group (DKK)","Families, total","900,000 - 999,000 DKK",946803,946924,947071,947294,947437,947518,948097,948008,948172,948517
"All Denmark","Average income for families in the group (DKK)","Families, total","1 million DKK, and more",1526635,1583546,1560808,1570758,1553717,1599585,1583606,1615747,1609357,1657223
"All Denmark","Average income for families in the group (DKK)","Couples, total","Total",713974,737580,747024,767247,780602,810209,848237,892361,895797,955190
"All Denmark","Average income for families in the group (DKK)","Couples, total","Less than 200,000 DKK",-27426,57675,49663,68251,38552,55179,43175,43600,-76101,1563
"All Denmark","Average income for families in the group (DKK)","Couples, total","200,000 - 299,999 DKK",264448,265334,265584,265945,266122,266156,265787,266363,264696,263529
"All Denmark","Average income for families in the group (DKK)","Couples, total","300,000 - 399,999 DKK",349134,348925,348356,348488,348606,349671,351157,352491,354586,356931
"All Denmark","Average income for families in the group (DKK)","Couples, total","400,000 - 499,999 DKK",449061,448854,449056,449125,449299,449986,450017,449918,449541,448498
"All Denmark","Average income for families in the group (DKK)","Couples, total","500,000 - 599,999 DKK",550851,550650,550401,550349,550033,550272,550067,549860,549738,549485
"All Denmark","Average income for families in the group (DKK)","Couples, total","600,000 - 699,999 DKK",650250,650361,650501,650679,650610,650535,650396,650403,650325,650323
"All Denmark","Average income for families in the group (DKK)","Couples, total","700,000 - 799,000 DKK",748581,748738,748886,749259,749603,749520,749987,750342,750459,750798
"All Denmark","Average income for families in the group (DKK)","Couples, total","800,000 - 899,000 DKK",847464,847696,847729,848054,848202,848351,849032,849261,849292,849633
"All Denmark","Average income for families in the group (DKK)","Couples, total","900,000 - 999,000 DKK",946838,946954,947147,947405,947509,947636,948249,948164,948369,948769
"All Denmark","Average income for families in the group (DKK)","Couples, total","1 million DKK, and more",1502966,1552925,1536512,1542035,1525993,1563657,1549104,1586488,1581634,1615505
"All Denmark","Average income for families in the group (DKK)","Single people, total","Total",278930,285948,289008,295423,302119,312794,325952,340073,342752,365682
"All Denmark","Average income for families in the group (DKK)","Single people, total","Less than 200,000 DKK",126775,125838,123072,121579,120346,120924,119688,120795,113690,112210
"All Denmark","Average income for families in the group (DKK)","Single people, total","200,000 - 299,999 DKK",241081,241768,242074,242834,243519,244777,245796,246977,248496,251356
"All Denmark","Average income for families in the group (DKK)","Single people, total","300,000 - 399,999 DKK",345780,345912,346346,346397,346888,346851,346976,346966,347287,346749
"All Denmark","Average income for families in the group (DKK)","Single people, total","400,000 - 499,999 DKK",443226,443635,443963,444076,444558,444504,445582,445878,445648,446348
"All Denmark","Average income for families in the group (DKK)","Single people, total","500,000 - 599,999 DKK",542906,543121,543264,543313,543651,543783,544406,544766,544619,544894
"All Denmark","Average income for families in the group (DKK)","Single people, total","600,000 - 699,999 DKK",643968,644037,644086,644105,644075,644176,644078,644202,644244,644576
"All Denmark","Average income for families in the group (DKK)","Single people, total","700,000 - 799,000 DKK",744502,745313,744681,744760,744881,744821,744871,745207,744904,745103
"All Denmark","Average income for families in the group (DKK)","Single people, total","800,000 - 899,000 DKK",845333,845094,845113,845672,845536,845170,845636,845345,845726,845434
"All Denmark","Average income for families in the group (DKK)","Single people, total","900,000 - 999,000 DKK",946127,946377,945759,945467,946297,945723,946076,946167,945851,946096
"All Denmark","Average income for families in the group (DKK)","Single people, total","1 million DKK, and more",1924192,2068778,1948111,2027655,2006409,2162832,2137980,2040681,2025982,2232922
